Número de caracteres,Contador
6,39
10,1848
16,2178
22,3587
26,11813
31,14534
35,19809
40,23705
46,23741
50,40758
54,55128
57,58036
60,69653
68,71455
70,96863
78,96911
83,103307
91,103833
97,127842
101,161359
105,180838
111,181244
119,181292
124,203058
132,203106
136,245403
147,248261
149,317118
155,318334
159,323274
171,323346
181,408271
187,409873
199,411475
202,550363
205,607068
211,607104
214,612434
217,621370
223,621406
230,751270
232,822552
238,838130
242,840158
249,842482
255,901910
260,904578
266,1015834
269,1079264
276,1079790
